연도,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2018,1,SK,144,78,65,1,0.545,14.5,3승0무7패,2패,42-0-30,36-1-35
2018,2,두산,144,93,51,0,0.646,0,6승0무4패,1승,51-0-21,42-0-30
2018,3,한화,144,77,67,0,0.535,16,5승0무5패,1승,43-0-29,34-0-38
2018,4,키움,144,75,69,0,0.521,18,5승0무5패,1패,37-0-35,38-0-34
2018,5,KIA,144,70,74,0,0.486,23,4승0무6패,1패,43-0-29,27-0-45
2018,6,삼성,144,68,72,4,0.486,23,6승1무3패,2승,33-3-36,35-1-36
2018,7,롯데,144,68,74,2,0.479,24,6승0무4패,1패,34-0-38,34-2-36
2018,8,LG,144,68,75,1,0.476,24.5,4승0무6패,2승,39-1-32,29-0-43
2018,9,KT,144,59,82,3,0.418,32.5,5승0무5패,1승,31-2-39,28-1-43
2018,10,NC,144,58,85,1,0.406,34.5,2승0무8패,3패,33-0-39,25-1-46
2017,1,KIA,144,87,56,1,0.608,0,6승0무4패,2승,45-0-27,42-1-29
2017,2,두산,144,84,57,3,0.596,2,8승0무2패,1패,39-3-30,45-0-27
2017,3,롯데,144,80,62,2,0.563,6.5,8승0무2패,5승,45-2-25,35-0-37
2017,4,NC,144,79,62,3,0.560,7,5승1무4패,4승,44-1-27,35-2-35
2017,5,SK,144,75,68,1,0.524,12,7승0무3패,2승,42-0-30,33-1-38
2017,6,LG,144,69,72,3,0.489,17,4승0무6패,2패,38-0-34,31-3-38
2017,7,키움,144,69,73,2,0.486,17.5,3승0무7패,4패,39-2-31,30-0-42
2017,8,한화,144,61,81,2,0.430,25.5,3승1무6패,5패,30-1-41,31-1-40
2017,9,삼성,144,55,84,5,0.396,30,4승0무6패,2승,28-2-42,27-3-42
2017,10,KT,144,50,94,0,0.347,37.5,3승0무7패,2패,27-0-45,23-0-49
2016,1,두산,144,93,50,1,0.650,0,6승0무4패,2승,46-1-25,47-0-25
2016,2,NC,144,83,58,3,0.589,9,6승0무4패,2패,39-2-31,44-1-27
2016,3,키움,144,77,66,1,0.538,16,3승0무7패,3패,44-0-28,33-1-38
2016,4,LG,144,71,71,2,0.500,21.5,4승1무5패,1패,40-2-30,31-0-41
2016,5,KIA,144,70,73,1,0.490,23,5승0무5패,2패,38-0-34,32-1-39
2016,6,SK,144,69,75,0,0.479,24.5,4승0무6패,1승,35-0-37,34-0-38
2016,7,한화,144,66,75,3,0.468,26,6승0무4패,3승,36-2-34,30-1-41
2016,8,롯데,144,66,78,0,0.458,27.5,5승0무5패,2승,40-0-32,26-0-46
2016,9,삼성,144,65,78,1,0.455,28,5승0무5패,1패,34-0-38,31-1-40
2016,10,KT,144,53,89,2,0.373,39.5,4승0무6패,2승,28-0-44,25-2-45
2015,1,두산,144,79,65,0,0.549,9,6승0무4패,2승,41-0-31,38-0-34
2015,2,삼성,144,88,56,0,0.611,0,6승0무4패,3승,46-0-26,42-0-30
2015,3,NC,144,84,57,3,0.596,2.5,6승1무3패,1패,40-2-30,44-1-27
2015,4,키움,144,78,65,1,0.545,9.5,4승0무6패,1패,40-0-32,38-1-33
2015,5,SK,144,69,73,2,0.486,18,6승0무4패,1승,37-1-34,32-1-39
2015,6,한화,144,68,76,0,0.472,20,6승0무4패,1패,38-0-34,30-0-42
2015,7,KIA,144,67,77,0,0.465,21,4승0무6패,4패,36-0-36,31-0-41
2015,8,롯데,144,66,77,1,0.462,21.5,2승0무8패,1승,37-0-35,29-1-42
2015,9,LG,144,64,78,2,0.451,23,6승0무4패,2승,33-2-37,31-0-41
2015,10,KT,144,52,91,1,0.364,35.5,2승1무7패,1패,30-0-42,22-1-49
2014,1,삼성,128,78,47,3,0.624,0,3승0무7패,1패,40-2-22,38-1-25
2014,2,키움,128,78,48,2,0.619,0.5,7승1무2패,6승,42-1-21,36-1-27
2014,3,NC,128,70,57,1,0.551,9,6승0무4패,1패,38-0-26,32-1-31
2014,4,LG,128,62,64,2,0.492,16.5,6승0무4패,3패,33-1-30,29-1-34
2014,5,SK,128,61,65,2,0.484,17.5,6승1무3패,1패,31-2-31,30-0-34
2014,6,두산,128,59,68,1,0.465,20,6승0무4패,1승,29-0-35,30-1-33
2014,7,롯데,128,58,69,1,0.457,21,5승0무5패,1승,32-1-31,26-0-38
2014,8,KIA,128,54,74,0,0.422,25.5,3승0무7패,2승,26-0-38,28-0-36
2014,9,한화,128,49,77,2,0.389,29.5,2승0무8패,5패,28-0-36,21-2-41
2013,1,삼성,128,75,51,2,0.595,0,6승0무4패,1패,37-0-27,38-2-24
2013,2,두산,128,71,54,3,0.568,3.5,6승0무4패,1패,37-1-26,34-2-28
2013,3,LG,128,74,54,0,0.578,2,4승0무6패,2승,37-0-27,37-0-27
2013,4,키움,128,72,54,2,0.571,3,5승0무5패,1패,36-2-26,36-0-28
2013,5,롯데,128,66,58,4,0.532,8,8승0무2패,2승,33-3-28,33-1-30
2013,6,SK,128,62,63,3,0.496,12.5,3승1무6패,2패,31-2-31,31-1-32
2013,7,NC,128,52,72,4,0.419,22,4승0무6패,1승,28-2-34,24-2-38
2013,8,KIA,128,51,74,3,0.408,23.5,3승1무6패,3패,22-1-41,29-2-33
2013,9,한화,128,42,85,1,0.331,33.5,4승0무6패,1승,21-0-43,21-1-42
2012,1,삼성,133,80,51,2,0.611,0,8승0무2패,1승,39-1-26,41-1-25
2012,2,SK,133,71,59,3,0.546,8.5,5승0무5패,1승,38-2-26,33-1-33
2012,3,두산,133,68,62,3,0.523,11.5,5승0무5패,1패,32-0-34,36-3-28
2012,4,롯데,133,65,62,6,0.512,13,3승0무7패,1패,35-4-27,30-2-35
2012,5,KIA,133,62,65,6,0.488,16,7승0무3패,1패,32-5-30,30-1-35
2012,6,키움,133,61,69,3,0.469,18.5,3승1무6패,2패,34-1-32,27-2-37
2012,7,LG,133,57,72,4,0.442,22,5승0무5패,2승,25-1-41,32-3-31
2012,8,한화,133,53,77,3,0.408,26.5,2승1무7패,1패,27-1-39,26-2-38
2011,1,삼성,133,79,50,4,0.612,0,5승2무3패,1승,41-1-25,38-3-25
2011,2,SK,133,71,59,3,0.546,8.5,5승1무4패,2승,34-2-31,37-1-28
2011,3,롯데,133,72,56,5,0.563,6.5,8승0무2패,4승,40-3-24,32-2-32
2011,4,KIA,133,70,63,0,0.526,11,5승0무5패,2패,36-0-30,34-0-33
2011,5,두산,133,61,70,2,0.466,19,6승0무4패,5승,30-0-37,31-2-33
2011,6,LG,133,59,72,2,0.450,21,2승1무7패,1패,29-1-36,30-1-36
2011,6,한화,133,59,72,2,0.450,21,4승0무6패,3패,31-2-33,28-0-39
2011,8,키움,133,51,80,2,0.389,29,3승0무7패,4패,34-1-31,17-1-49
2010,1,SK,133,84,47,2,0.632,0,6승1무3패,1승,40-0-26,44-2-21
2010,2,삼성,133,79,52,2,0.594,5,4승1무5패,1승,37-0-29,42-2-23
2010,3,두산,133,73,57,3,0.549,10.5,5승0무5패,1패,37-2-27,36-1-30
2010,4,롯데,133,69,61,3,0.519,14.5,8승0무2패,4승,33-1-32,36-2-29
2010,5,KIA,133,59,74,0,0.444,26,5승0무5패,3패,30-0-37,29-0-37
2010,6,LG,133,57,71,5,0.429,25.5,3승2무5패,1패,31-3-33,26-2-38
2010,7,키움,133,52,78,3,0.391,31.5,2승0무8패,2패,23-3-41,29-0-37
2010,8,한화,133,49,82,2,0.368,35,5승1무4패,2승,27-1-39,22-1-43
